Cargo,Carrier_id
'chlorella' saccharophila,[2813]
African horse sickness virus,"[1063, 2158]"
Arcanobacterium haemolyticum,[4152]
BSE agent,"[854, 2326]"
Bacteroides vulgatus,[5720]
Bhanja virus,"[854, 4152]"
Bovine diarrhoea virus,[854]
Bovine reovirus,[854]
St. Louis encephalitis virus,[2161]
Taenia solium,[1063]
Trichinella pseudospiralis,"[1063, 2326, 5720]"
Western equine encephalitis virus,"[854, 5719]"
Yersinia enterocolitica,"[2161, 5720]"
[brevibacterium] halotolerans,"[713, 4755, 4819]"
abaca bunchy top virus,[3754]
abacarus acutatus,[997]
abacarus hystrix,[2090]
abacarus lolii,[3282]
abiotrophia defectiva,[2813]
abothrium gadi,[2476]
absidia glauca,[5613]
abutilon mosaic virus,[5485]
acalyptris limonii,[3236]
acalyptris loranthella,[3300]
acalyptris maritima,[3236]
acalyptris minimella,[4632]
acalyptris pistaciae,[4632]
acalyptris platani,[4653]
acanthamoeba astronyxis,[2813]
acanthamoeba castellanii,[2813]
acanthamoeba culbertsoni,[2813]
acanthamoeba hatchetti,[2813]
acanthamoeba lenticulata,[2813]
acanthamoeba polyphaga,[2813]
acanthamoeba polyphaga mimivirus,"[56, 57]"
acanthiophilus helianthi,[1178]
acanthobothrium brevissime,"[885, 1808]"
acanthobothrium margieae,[4092]
acanthocheilonema reconditum,"[1062, 1063]"
acanthocheilonema viteae,[3602]
acanthoscelides anoditus,[422]
acanthoscelides argillaceus,[4419]
acanthoscelides clandestinus,[6181]
acanthoscelides desmoditus,[1874]
acanthoscelides flavescens,[5145]
acanthoscelides isla,[5145]
acanthoscelides macrophthalmus,[3210]
acanthoscelides malvastrumicis,[3466]
acanthoscelides oblongoguttatus,"[50, 6120]"
acanthoscelides obtectus,[4420]
acanthoscelides obvelatus,[4420]
acanthoscelides puellus,[1042]
acanthoscelides sanfordi,[4178]
acanthoscelides taboga,[1041]
acanthoscelides zonensis,[5810]
acaricomes phytoseiuli,[6206]
accacoelium contortum,[3700]
aceria eximia,[997]
aceria tosichella,[898]
aceria tulipae,[247]
acetobacter aceti,[5190]
acetobacter ghanensis,"[343, 699, 1417, 5762]"
acetobacter indonesiensis,"[699, 1659, 2981, 4845, 4882]"
acetobacter lovaniensis,"[343, 770, 1417, 1914, 5786]"
acetobacter orientalis,"[699, 1432, 3474, 3907]"
acetobacter orleanensis,[699]
acetobacter pasteurianus,"[343, 620, 632, 3474, 3542, 4838, 6206]"
acetobacter pomorum,[2005]
acetobacter tropicalis,"[722, 1659, 4882, 5553]"
achelia sawayai,[2811]
achlya bisexualis,[3737]
acholeplasma brassicae,[892]
acholeplasma cavigenitalium,[1165]
acholeplasma equifetale,[2161]
acholeplasma granularum,[5719]
acholeplasma hippikon,[2161]
acholeplasma laidlawii,"[854, 2497, 4152, 5950]"
acholeplasma morum,[854]
acholeplasma parvum,[2161]
acholeplasma phage l2,[89]
achromobacter denitrificans,"[90, 2813]"
achromobacter insolitus,[6010]
achromobacter piechaudii,"[2556, 2813, 3904, 5856]"
achromobacter xylosoxidans,"[893, 938, 1453, 2556, 2693, 2813, 3078, 4765, 4817, 4819, 5507, 6034, 6183, 6281]"
acidaminococcus fermentans,"[1072, 2813]"
acidianus bottle-shaped virus,[93]
acidianus filamentous virus 1,"[94, 95]"
acidianus filamentous virus 2,[96]
acidianus filamentous virus 6,[93]
acidianus filamentous virus 7,[93]
acidianus filamentous virus 8,[93]
acidianus two-tailed virus,[93]
acidocella aluminiidurans,[4213]
acidomonas methanolica,"[632, 5190]"
acidoproctus emersoni,[1845]
acidovorax avenae,"[897, 2078, 4130, 5542, 5669, 6281]"
acidovorax citrulli,"[1412, 1659]"
acidovorax defluvii,[5154]
acidovorax oryzae,[4130]
acidovorax radicis,[6010]
acinetobacter baumannii,"[854, 1078, 1182, 1683, 2161, 2813, 2895, 3752, 5340, 6281]"
acinetobacter baylyi,"[860, 1466, 3475]"
acinetobacter beijerinckii,[1683]
acinetobacter berezinae,[2813]
acinetobacter calcoaceticus,"[498, 697, 774, 1683, 2642, 2703, 2813, 3075, 3757, 4420, 4649, 4674, 5490, 5533, 6031, 6292]"
acinetobacter haemolyticus,"[446, 2813, 3178, 3757, 4420]"
acinetobacter johnsonii,"[446, 770, 2813, 4755, 5780, 5798, 5804, 6063]"
acinetobacter junii,"[102, 509, 1683, 1767, 2813, 2895, 3007, 3927, 4094, 4208, 4209, 6063]"
acinetobacter lwoffii,"[446, 1683, 1842, 1844, 2042, 2813, 3733, 3752, 4755, 5780, 5798, 6056, 6281]"
acinetobacter parvus,[2813]
acinetobacter phage 133,[97]
acinetobacter radioresistens,"[446, 1683, 2064, 2813, 4420]"
acinetobacter rhizosphaerae,[3282]
acinetobacter schindleri,"[1683, 6281]"
acinetobacter septicus,[2813]
