Carrier_id,Carrier,Carrier classification,Cargo
1,abbottina rivularis,Fish,"['bothriocephalus acheilognathi', 'dollfustrema hefeiensis']"
2,abelmoschus esculentus,Higher Plants,"['bemisia tabaci', 'bacillus subtilis', 'okra yellow vein mosaic virus', 'okra yellow mosaic mexico virus', 'okra yellow crinkle virus', 'radish leaf curl virus', 'cotton leaf curl bangalore virus', 'cotton leaf curl gezira virus', 'cotton leaf curl multan virus', 'bhendi yellow vein mosaic virus', 'sida micrantha mosaic virus', 'pseudomonas fluorescens', 'pectobacterium carotovorum', 'fusarium proliferatum', 'tomato leaf curl new delhi virus', 'spodoptera litura', 'tomato leaf curl virus', 'bacillus megaterium', 'tobacco streak virus', 'leuconostoc mesenteroides', 'mesta yellow vein mosaic virus', 'earias vitella']"
3,abies alba,Higher Plants,['mindarus abietinus']
4,abies balsamea,Higher Plants,['mindarus abietinus']
5,abies cephalonica,Higher Plants,['dioryctria resiniphila']
6,abies concolor,Higher Plants,['mindarus kinseyi']
7,abies fraseri,Higher Plants,['mindarus abietinus']
8,abies grandis,Higher Plants,['mindarus kinseyi']
9,abies holophylla,Higher Plants,['cinara longipennis']
10,abies lasiocarpa,Higher Plants,['mindarus abietinus']
11,abies magnifica,Higher Plants,['cinara curvipes']
12,abramis ballerus,Fish,"['paradiplozoon nagibinae', 'dactylogyrus chranilowi', 'dactylogyrus auriculatus']"
13,abramis bjoerkna,Fish,['gyrodactylus elegans']
14,abramis brama,Fish,"['goussia balatonica', 'ligula intestinalis', 'naegleria pagei', 'gyrodactylus elegans', 'myxobolus pseudodispar', 'myxobolus dogieli', 'dactylogyrus falcatus', 'spring viraemia of carp virus', 'diplozoon paradoxum', 'dactylogyrus zandti', 'dactylogyrus wunderi', 'myxobolus parviformis', 'myxobolus rotundus', 'myxobolus bramae', 'myxobolus hungaricus', 'myxobolus impressus', 'myxobolus macrocapsularis']"
15,abramis sapa,Fish,['dactylogyrus propinquus']
16,abrothrix longipilis,Rodent,"['andes virus', 'ixodes sigelos']"
17,abrothrix olivaceus,Rodent,"['ixodes abrocomae', 'ixodes sigelos']"
18,abrus precatorius,Higher Plants,['pantoea agglomerans']
19,abudefduf bengalensis,Fish,"['kudoa amamiensis', 'kudoa whippsi']"
20,abudefduf septemfasciatus,Fish,['kudoa gunterae']
21,abudefduf sexfasciatus,Fish,"['myxidium queenslandicus', 'kudoa gunterae', 'ceratomyxa kenti']"
22,abudefduf sordidus,Fish,['kudoa gunterae']
23,abudefduf vaigiensis,Fish,['myxidium queenslandicus']
24,abudefduf whitleyi,Fish,"['ceratomyxa bryanti', 'kudoa whippsi', 'ceratomyxa falcatus', 'kudoa amamiensis']"
25,abutilon theophrasti,Higher Plants,"['colletotrichum coccodes', 'tobacco mosaic virus']"
26,acacia ataxacantha,Higher Plants,"['bruchidius quadrisignatus', 'tuberculobruchus subuniformis']"
27,acacia auriculiformis,Higher Plants,"['burkholderia tropica', 'bradyrhizobium elkanii', 'bacillus arbutinivorans', 'bacillus megaterium']"
28,acacia caven,Higher Plants,['sphingomonas phyllosphaerae']
29,acacia chiapensis,Higher Plants,['mimosestes viduatus']
30,acacia confusa,Higher Plants,['scirtothrips dorsalis']
31,acacia crassicarpa,Higher Plants,['rhizobium tropici']
32,acacia dealbata,Higher Plants,['maconellicoccus australiensis']
33,acacia decurrens,Higher Plants,['burkholderia cepacia']
34,acacia karroo,Higher Plants,['lasiodiplodia theobromae']
35,acacia laeta,Higher Plants,"['bruchidius rubicundus', 'sinorhizobium terangae']"
36,acacia longifolia,Higher Plants,"['agrobacterium tumefaciens', 'trichilogaster acaciaelongifoliae']"
37,acacia macrostachya,Higher Plants,['tuberculobruchus silaceus']
38,acacia mangium,Higher Plants,"['lasiodiplodia theobromae', 'bradyrhizobium japonicum', 'bacillus megaterium', 'rhizobium tropici']"
39,acacia mearnsii,Higher Plants,"['bradyrhizobium japonicum', 'bacillus subtilis', 'bradyrhizobium elkanii']"
40,acacia nilotica,Higher Plants,"['bruchidius grandemaculatus', 'bruchidius centromaculatus', 'bruchidius uberatus']"
41,acacia oswaldii,Higher Plants,['koptothrips flavicornis']
42,acacia papyrocarpa,Higher Plants,"['koptothrips flavicornis', 'kladothrips nicolsoni', 'kladothrips rugosus']"
43,acacia pennatula,Higher Plants,"['mimosestes humeralis', 'mimosestes anomalus']"
44,acacia polyacantha,Higher Plants,['bruchidius campylacanthae']
45,acacia reficiens,Higher Plants,['bruchidius saudicus']
46,acacia saligna,Higher Plants,['bradyrhizobium elkanii']
47,acacia senegal,Higher Plants,"['bacillus licheniformis', 'sinorhizobium arboris', 'sinorhizobium saheli', 'sinorhizobium terangae', 'bruchidius submaculatus', 'staphylococcus hominis', 'sinorhizobium kostiense', 'mesorhizobium plurifarium']"
48,acacia seyal,Higher Plants,"['burkholderia cepacia', 'sinorhizobium terangae', 'mesorhizobium plurifarium', 'agrobacterium tumefaciens']"
